soc_code,onet_soc_code,occupation_title,software_or_tool,software_category,hot_technology,in_demand,rank
47-2042,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",Web browser software,Internet browser software,N,N,13
47-2043,47-2043.00,Floor Sanders and Finishers,Microsoft Excel,Spreadsheet software,Y,N,1
47-2043,47-2043.00,Floor Sanders and Finishers,Floor planning software,Computer aided design CAD software,N,N,2
47-2043,47-2043.00,Floor Sanders and Finishers,FloorCOST Estimator for Excel,Project management software,N,N,3
47-2043,47-2043.00,Floor Sanders and Finishers,Flooring Technologies QFloors,Data base user interface and query software,N,N,4
47-2043,47-2043.00,Floor Sanders and Finishers,Measure Square,Project management software,N,N,5
47-2043,47-2043.00,Floor Sanders and Finishers,Pacific Solutions FloorRight,Project management software,N,N,6
47-2043,47-2043.00,Floor Sanders and Finishers,Vimeo,Video creation and editing software,N,N,7
47-2044,47-2044.00,Tile and Stone Setters,Microsoft Excel,Spreadsheet software,Y,N,1
47-2044,47-2044.00,Tile and Stone Setters,Microsoft Office software,Office suite software,Y,N,2
47-2044,47-2044.00,Tile and Stone Setters,Microsoft Outlook,Electronic mail software,Y,N,3
47-2044,47-2044.00,Tile and Stone Setters,Microsoft PowerPoint,Presentation software,Y,N,4
47-2044,47-2044.00,Tile and Stone Setters,Microsoft Word,Word processing software,Y,N,5
47-2044,47-2044.00,Tile and Stone Setters,Salesforce software,Customer relationship management CRM software,Y,N,6
47-2044,47-2044.00,Tile and Stone Setters,Aya Associates Comp-U-Floor,Data base user interface and query software,N,N,7
47-2044,47-2044.00,Tile and Stone Setters,EasyCAD Iris 2D,Computer aided design CAD software,N,N,8
47-2044,47-2044.00,Tile and Stone Setters,Measure Square FloorEstimate Pro,Project management software,N,N,9
47-2044,47-2044.00,Tile and Stone Setters,TileGem,Computer aided design CAD software,N,N,10
47-2051,47-2051.00,Cement Masons and Concrete Finishers,ACT Contractors Forms,Information retrieval or search software,N,N,1
47-2051,47-2051.00,Cement Masons and Concrete Finishers,ADAPT-Modeler,Analytical or scientific software,N,N,2
47-2051,47-2051.00,Cement Masons and Concrete Finishers,HIPERPAV,Analytical or scientific software,N,N,3
47-2051,47-2051.00,Cement Masons and Concrete Finishers,Hard Dollar HD Project Estimating,Project management software,N,N,4
47-2051,47-2051.00,Cement Masons and Concrete Finishers,LogicSphere Firstmix,Analytical or scientific software,N,N,5
47-2051,47-2051.00,Cement Masons and Concrete Finishers,Maxwell Systems Quest Estimator,Project management software,N,N,6
47-2051,47-2051.00,Cement Masons and Concrete Finishers,National Concrete & Masonry Estimator,Project management software,N,N,7
47-2051,47-2051.00,Cement Masons and Concrete Finishers,Shilstone seeMIX,Analytical or scientific software,N,N,8
47-2051,47-2051.00,Cement Masons and Concrete Finishers,Sirus GT Construction Accounting,Accounting software,N,N,9
47-2051,47-2051.00,Cement Masons and Concrete Finishers,Tradesman's Software Master Estimator,Project management software,N,N,10
47-2053,47-2053.00,Terrazzo Workers and Finishers,Intuit QuickBooks,Accounting software,Y,N,1
47-2053,47-2053.00,Terrazzo Workers and Finishers,Microsoft Excel,Spreadsheet software,Y,N,2
47-2053,47-2053.00,Terrazzo Workers and Finishers,Microsoft Windows,Operating system software,Y,N,3
47-2053,47-2053.00,Terrazzo Workers and Finishers,CPR International GeneralCOST Estimator,Accounting software,N,N,4
47-2053,47-2053.00,Terrazzo Workers and Finishers,CPR Visual Estimator,Project management software,N,N,5
47-2053,47-2053.00,Terrazzo Workers and Finishers,Construction Management Software ProEst,Analytical or scientific software,N,N,6
47-2053,47-2053.00,Terrazzo Workers and Finishers,On Center Quick Bid,Project management software,N,N,7
47-2053,47-2053.00,Terrazzo Workers and Finishers,Sapro Systems Paymee,Accounting software,N,N,8
47-2061,47-2061.00,Construction Laborers,Autodesk Revit,Computer aided design CAD software,Y,N,1
47-2061,47-2061.00,Construction Laborers,Microsoft Excel,Spreadsheet software,Y,N,2
47-2061,47-2061.00,Construction Laborers,Microsoft Office software,Office suite software,Y,N,3
47-2061,47-2061.00,Construction Laborers,Microsoft Outlook,Electronic mail software,Y,N,4
47-2061,47-2061.00,Construction Laborers,Microsoft Windows,Operating system software,Y,N,5
47-2061,47-2061.00,Construction Laborers,Microsoft Word,Word processing software,Y,N,6
47-2061,47-2061.00,Construction Laborers,Oracle Primavera Enterprise Project Portfolio Management,Project management software,Y,N,7
47-2071,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",Autodesk AutoCAD Civil 3D,Computer aided design CAD software,Y,N,1
47-2071,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",Microsoft Excel,Spreadsheet software,Y,N,2
47-2071,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",Microsoft Office software,Office suite software,Y,N,3
47-2071,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",Microsoft Outlook,Electronic mail software,Y,N,4
47-2071,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",Database software,Data base user interface and query software,N,N,5
47-2071,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",Email software,Electronic mail software,N,N,6
47-2071,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",HCSS HeavyBid,Project management software,N,N,7
47-2071,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",Time report software,Time accounting software,N,N,8
47-2071,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",Warehouse management system WMS,Materials requirements planning logistics and supply chain software,N,N,9
47-2072,47-2072.00,Pile Driver Operators,Microsoft Excel,Spreadsheet software,Y,N,1
47-2072,47-2072.00,Pile Driver Operators,Email software,Electronic mail software,N,N,2
47-2072,47-2072.00,Pile Driver Operators,GRL Engineers Wave Equation Analysis Program GRLWEAP,Analytical or scientific software,N,N,3
47-2072,47-2072.00,Pile Driver Operators,Global positioning system GPS software,Mobile location based services software,N,N,4
47-2072,47-2072.00,Pile Driver Operators,Pile Dynamics Case Pile Wave Analysis Program CAPWAP,Analytical or scientific software,N,N,5
47-2072,47-2072.00,Pile Driver Operators,Pile Dynamics Pile Driving Analyzer PDA,Analytical or scientific software,N,N,6
47-2073,47-2073.00,Operating Engineers and Other Construction Equipment Operators,Microsoft Excel,Spreadsheet software,Y,N,1
